,BiasAdjustedAbsReturn,NaiveForecast,GARCHForecast,EGARCHForecast
2025-02-05,0.08050472617471498,0.1357029711968387,0.1257803208019495,0.1455100815033131
2025-02-06,0.06902830287905405,0.1359300266984539,0.1183988061034419,0.1347006718334103
2025-02-07,0.1829546026982376,0.1322419171387061,0.1115179013963581,0.125060732524373
2025-02-10,0.13466178699095224,0.1344208771021047,0.1232637672299963,0.1467795109185163
2025-02-11,0.015123740540649118,0.1320047379022147,0.1207127022053304,0.1368623021866701
2025-02-12,0.0641952598103336,0.1320141239821784,0.1122020468532266,0.1258992650769248
2025-02-13,0.20894828009126593,0.1284576056184282,0.1082500650232339,0.1272875857594857
2025-02-14,0.0009784364791942909,0.126482327594565,0.1194470667969863,0.1213552783357195
2025-02-18,0.05832426773593326,0.125713237805485,0.1112722979660711,0.1137102243864051
2025-02-19,0.046799799224379615,0.1252759550272675,0.1049841117283146,0.1064526578044921
2025-02-20,0.0829498862577462,0.1209672101500371,0.0992352082659131,0.0998252636551191
2025-02-21,0.34323875970351514,0.1211154578944636,0.0994705281913668,0.1076885904543432
2025-02-24,0.09073826736964202,0.1273069655336301,0.1511077624116069,0.1669936005703409
2025-02-25,0.09919617163800168,0.1281607116198805,0.1429753731902436,0.1668388627830694
2025-02-26,0.010040789562102472,0.1203106466536496,0.136878474803195,0.1680308379127388
2025-02-27,0.3201359596237053,0.120290730433229,0.1261771166737435,0.1528539741871164
2025-02-28,0.3080872354163656,0.1297736773711947,0.1609734416401588,0.1955699791037324
2025-03-03,0.35166053034712985,0.1269113517352871,0.1753748526065979,0.1822958999101558
2025-03-04,0.23691033277938991,0.1368893911653281,0.2003974139915551,0.2249376978654903
2025-03-05,0.21269318829210765,0.1370943314522714,0.1999418743283765,0.2391711273824755
2025-03-06,0.35634257795939533,0.1381955614134219,0.1923454529466074,0.2175591930113964
2025-03-07,0.11119988859521235,0.1448897738045406,0.2133496657343238,0.2539124824593357
2025-03-10,0.5371166081559625,0.1449547025722267,0.1956027243309668,0.2281061262442105
2025-03-11,0.16608464050522986,0.1621938651496041,0.2541246330511759,0.2969315944003209
2025-03-12,0.10529962040997706,0.1594239010588717,0.2369595161739568,0.2877724313283328
2025-03-13,0.2670048144885466,0.1577275490337737,0.2159569447242521,0.2565286213213255
2025-03-14,0.4067755833136735,0.1607433847337888,0.2165526966114502,0.2702168584541214
2025-03-17,0.1528342843897127,0.1729752230646782,0.2339772957521327,0.2474981335997125
2025-03-18,0.21621353118060416,0.175163678858249,0.2160101823791054,0.2234695566788227
2025-03-19,0.21551009503433835,0.1765389718069209,0.2099621331794127,0.2345406455544076
2025-03-20,0.05761367130393547,0.1787303788310512,0.2009903776879958,0.2136874561658378
2025-03-21,0.006562363874181326,0.1778276843294488,0.1839032203778361,0.2016426940915489
2025-03-24,0.3531498726919859,0.1771882727416731,0.1672631873441289,0.1821184256920782
2025-03-25,0.04777057004035458,0.1851255372755154,0.1882707017448374,0.1716660061520523
2025-03-26,0.23895125715476767,0.1838765384512618,0.171359272956774,0.1567146070836506
2025-03-27,0.05290813037686955,0.1861866749815643,0.1773856443374111,0.1831778075101337
2025-03-28,0.4047562864645692,0.1861610834831283,0.1631335471920344,0.1749252891059154
2025-03-31,0.1331098984311606,0.1896413908409854,0.2033912254322009,0.229760080450794
2025-04-01,0.056115183149785065,0.1915475438824438,0.1882562820482601,0.2080549153257933
2025-04-02,0.1255094967259196,0.1915190904902274,0.1715287431429256,0.1881013538706612
2025-04-03,1.0054597258787734,0.1927783654802282,0.1603576899029987,0.1723484470490819
2025-04-04,1.2002425749083896,0.2375987719445146,0.3635870727999962,0.3876426522823789
2025-04-07,0.035469669950014805,0.2860394591229742,0.5133704432938448,0.5478593108178708
2025-04-08,0.31408838440420905,0.2862424098781194,0.461916997971929,0.4775865478655878
2025-04-09,1.9868462386652403,0.2877712354622477,0.4292151020251055,0.4592332123012458
2025-04-10,0.8914885630075166,0.4204542563819657,0.7473941378383586,0.4326955974809306
2025-04-11,0.35186540275101913,0.4364086442803983,0.733220333393398,0.5186531003788233
2025-04-14,0.1920861297357727,0.4372877551004147,0.6675008037853092,0.4533870367979353
2025-04-15,0.05580431803455837,0.4367429179712657,0.6023676262922114,0.3970190590052536
2025-04-16,0.4472310310279651,0.4358444437453566,0.5418244445028121,0.3560536083263727
2025-04-17,0.02836303087151505,0.4378848353604336,0.5098597426079603,0.3811148720884639
2025-04-21,0.4792974747971773,0.4358809565712518,0.458477945056278,0.3343453358625344
2025-04-22,0.5110233336239077,0.4394438264263299,0.4428161335178823,0.3689865736872774
2025-04-23,0.3059276357838124,0.4416938380775599,0.4295780742172297,0.3323562340858816
2025-04-24,0.41443952343089363,0.4440502363443623,0.3978593133760716,0.2982528027485303
2025-04-25,0.14323611051404808,0.4482733421133176,0.3808212884583921,0.2714571971751529
2025-04-28,0.007586495476184602,0.447144870389413,0.3454707014733379,0.2441826258500367
2025-04-29,0.12493570882799973,0.4429551550782228,0.3114514147514973,0.2189089905152015
2025-04-30,0.007895884907290396,0.4427454954532715,0.2832605593079753,0.1991354342626869
2025-05-01,0.1405034549737437,0.441691822397936,0.2559557994387517,0.1803083707262999
2025-05-02,0.29316458032577336,0.4410017383764643,0.2350908402945254,0.1662167620468267
2025-05-05,0.114419204056231,0.4430945973172862,0.2312207097617446,0.1567200084177847
