,SquaredReturn,Trailing30DayVol,NaiveVariance,GARCHVariance,EGARCHVariance,NaiveForecast,GARCHForecast,EGARCHForecast
2024-07-05,3.305900260108862e-05,0.0760875328354864,2.237762988074222e-05,2.9997410225133208e-05,2.2248763104403907e-05,0.0750943588423727,0.08694450745581096,0.07487782249978818
2024-07-08,1.3304043595358803e-06,0.0749405524238372,2.2973462908695322e-05,3.1596813428507494e-05,2.1188098866171066e-05,0.0760875328354864,0.08923226425449424,0.07307120441237512
2024-07-09,9.448561506295184e-07,0.0699724139993586,2.2286057133293217e-05,2.882445836950419e-05,1.9129686670917595e-05,0.0749405524238372,0.08522771561596061,0.06943112444049307
2024-07-10,9.695199108178648e-05,0.0724399928622681,1.9429121908323947e-05,2.6595506628180677e-05,1.7323692563738627e-05,0.0699724139993586,0.08186615705101548,0.06607246420455448
2024-07-11,7.499094817094565e-05,0.0787657551680698,2.0823621293196242e-05,3.857139231949294e-05,1.7822166533583893e-05,0.0724399928622681,0.09859001402024559,0.06701631119707456
2024-07-12,3.953522447499615e-05,0.0752561205308532,2.4619222965064742e-05,4.990923434648385e-05,3.7581274263417497e-05,0.0787657551680698,0.1121477911298922,0.09731639694512538
2024-07-15,7.542108505119363e-06,0.0704337106625141,2.2474141576802797e-05,4.846689130824322e-05,3.4549968194057395e-05,0.0752561205308532,0.11051541344842941,0.09330912058798145
2024-07-16,3.495754182254262e-05,0.0684440400327885,1.9686141260677584e-05,4.29025942985132e-05,3.0881342889688876e-05,0.0704337106625141,0.10397814079519467,0.08821620263988694
2024-07-17,0.0001993843617444974,0.0834796163231832,1.8589629428610935e-05,4.219323690967436e-05,2.871270766359519e-05,0.0684440400327885,0.1031149635176095,0.08506234379104533
2024-07-18,5.9510762559940646e-05,0.08799977405632,2.7654152148674105e-05,7.568345207415985e-05,7.366549793462301e-05,0.0834796163231832,0.1381022444520301,0.13624868982681998
2024-07-19,4.439273638401218e-05,0.0856327633868204,3.073000092842607e-05,7.666237302506291e-05,9.0231462316587e-05,0.08799977405632,0.1389925105979306,0.15079233569309788
2024-07-22,0.00010520977971497813,0.0896666107138614,2.9099087957393522e-05,7.454927964373729e-05,0.00010107893149386584,0.0856327633868204,0.13706355631684813,0.15959915644029637
2024-07-23,2.4647863560212226e-06,0.0897597081083024,3.1905163003615726e-05,7.820951704040246e-05,8.868659339328561e-05,0.0896666107138614,0.14038802760271768,0.14949589136530803
2024-07-24,0.000525481901457058,0.1137571274171511,3.197144920510972e-05,6.710668628764404e-05,8.065143934247849e-05,0.0897597081083024,0.130041858432146,0.14256283777445153
2024-07-25,2.7288239069525702e-05,0.1147633467705369,5.135192078651568e-05,0.00015393954873043535,0.00018783481673612532,0.1137571274171511,0.19695879335553848,0.21756464284782945
2024-07-26,0.00012404462239126788,0.1168522833222794,5.226438794434326e-05,0.00013299886579337116,0.00017801345265073857,0.1147633467705369,0.1830729750125057,0.21180035426784846
2024-07-29,3.451733168333444e-07,0.1167435067293677,5.418434967313594e-05,0.00012790848305014712,0.00015043960205740498,0.1168522833222794,0.17953533838394342,0.19470690721817255
2024-07-30,2.5800651649991834e-05,0.1177509014732057,5.408351731535683e-05,0.00010584733869155427,0.00012249944000655813,0.1167435067293677,0.16332032742519126,0.17569820397958724
2024-07-31,0.0002599773048754367,0.1247011178438873,5.502093173711348e-05,9.424128896576102e-05,0.0001226017577093013,0.1177509014732057,0.15410647234743835,0.1757715646592017
2024-08-01,0.000203404070731969,0.1314431390543916,6.170781266474233e-05,0.00011865054926231167,0.00010929301639894173,0.1247011178438873,0.17291598657759363,0.16595734431634326
2024-08-02,0.00035320974167485993,0.1419292912094572,6.856070954155605e-05,0.00013755701099356558,0.00015698014676889956,0.1314431390543916,0.18618369093553422,0.198894436789375
2024-08-05,0.000873572873297474,0.1646649363718522,7.993620517150358e-05,0.00017961945715378632,0.00023294879470688685,0.1419292912094572,0.21275362089222866,0.2422872185364624
2024-08-06,8.42229606254147e-05,0.1675638356322052,0.00010759738599343704,0.0003053617424077697,0.00040127872664148134,0.1646649363718522,0.2774007193335265,0.31799723129872265
2024-08-07,4.4976914833088425e-05,0.167545563260976,0.00011141920242768525,0.00025953177669732654,0.00031922222456372485,0.1675638356322052,0.25573816243909764,0.2836265160207322
2024-08-08,0.0005223227250564996,0.181872834119192,0.00011139490384300678,0.00022090691469589733,0.0002932188028843127,0.167545563260976,0.2359418201662565,0.27182924479688864
2024-08-09,1.935791829953464e-05,0.1823931612655737,0.0001312608245656632,0.0002627619767555724,0.00024900966270905805,0.181872834119192,0.25732473286181456,0.25050036926655944
2024-08-12,2.7602868239008287e-07,0.1821893817904063,0.00013201295744622848,0.00021580534170716228,0.0002005922801692492,0.1823931612655737,0.23320151395350094,0.22483161388614992
2024-08-13,0.0002660725870827573,0.1886195086901019,0.0001317181382427398,0.0001761471483267292,0.0001610157960960146,0.1821893817904063,0.21068716472138438,0.20143480487789514
2024-08-14,9.922054811988301e-06,0.187766954789074,0.00014117983753371205,0.0001851378647561833,0.00014030963508587237,0.1886195086901019,0.21599708775480791,0.18803730492016693
2024-08-15,0.00028882372841325805,0.1939543912318852,0.00013990646551889746,0.00015248783803216838,0.00011607335288030009,0.187766954789074,0.19602789389295197,0.1710277314526379
2024-08-16,5.0157951811026635e-06,0.1933312669972812,0.00014927899157988567,0.00016990029416767948,0.00010446638080364419,0.1939543912318852,0.20691755394421044,0.16225143439279155
